day	page1	ratio1	count1	page2	ratio2	count2	page3	ratio3	count3
20150903.tsv	MOL_Cup_2015/16	12.818464052287583	1601	Villarreal_CF	11.929404002639103	1107	Adam_Sebastian_Helcelet	11.879443585780525	1098
20150910.tsv	Bitva_u_Actia	31.041884816753925	6413	Nova_Sport_2	17.718204488778056	1885	Skopolamin	16.176627870399496	2099
20150917.tsv	Nomofobie	18.121105391492822	1365	Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch	13.42179960261141	2895	Petr_Svojtka	10.989181286549707	3068
20150924.tsv	Ztohoven	24.65153981378996	7727	Eduard_Albert	11.961980990495249	976	Tripolis	10.503223330775134	2793
20151001.tsv	Soubor:Anouchka_Delon_2014.jpg	49	6307	Prvoci	48.49990496822633	2275765	TV_JOJ	16.74227703039362	2743
20151008.tsv	CD-ROM	21.174954674954673	6674	Villarreal_CF	16.757202551132615	1555	Sitatunga	14.846978698739312	2091
20151015.tsv	Coltan	27.081219168428472	3137	Lupus	19.611833026678934	6961	Vladimir_putin	13.613344271260596	1016
20151022.tsv	Mikroekonomie	15.809676479160595	5535	Prequel	14.271093397503382	3873	Ivan_Langer	11.692728752126635	3226
20151029.tsv	Martin_Havelka	41.421290180537206	15358	Jon_Buckland	24.09729586426299	1855	Felipe_Poey	22.808100929614874	2103
20151105.tsv	George_Boole	47.558	20382	Miroslav_Toman_(1935)	40.856458287954695	3828	Samhain	18.47031461434371	4457
20151112.tsv	Adolphe_Sax	48.071418469806254	6937	Defektoskopie	44.410911064442296	38410	Strana_spravedlnosti_a_rozvoje	22.082848469516822	3563
20151119.tsv	Eagles_of_Death_Metal	34.406022534649516	7042	Bataclan	32.54949784791965	2778	Farinelli	28.959780621572214	2263
20151126.tsv	Bree_Olson	34.13813813813814	3248	Mali	28.57801260196705	32674	Australopithecus	25.174570926071926	16943
20151203.tsv	Jonah_Lomu	23.034779260780287	3663	Advent	18.15211726384365	15922	Ortel	14.5195848021935	1513
20151210.tsv	Buchanky	48.358571166796466	258519	Ivan_Rajmont	31.718494749124858	4438	Miloslav_Ransdorf	28.00979363413781	11440
