day	Stepan_Bandera	GIGN	Petr_Fiala_(politolog)	Demograf	Super_Bowl	Program_NSDAP	Jan_Pohan	Alessandro_Volta	Petter_Northug	Gerhard_Mercator	Terry_Pratchett	Vlasta_Korec	Ambra	Dadja_Altenburg-Kohl	Pony_Express	Terra_nullius	Bruce_Jenner	David_Navara	European_Train_Control_System	Pekka_Rinne	Eurovision_Song_Contest_2015	Hydrazin	Pierre_Brice	MERS	Svoboda_panoramatu	Josef_Masopust	Janis_Varufakis	Theobald_Czernin	Jules_Bianchi	Ladislav_Kantor	Ivan_Moravec	Perseidy	Aeronet.cz	Laibach	Villarreal_CF	Skopolamin	Nomofobie	Ztohoven	TV_JOJ	Sitatunga	Lupus	Ivan_Langer	Martin_Havelka	Miroslav_Toman_(1935)	Strana_spravedlnosti_a_rozvoje	Eagles_of_Death_Metal	Mali	Ortel	Miloslav_Ransdorf
20150102.tsv	170	0	12	0	17	0	0	23	0	0	80	0	11	0	0	0	0	13	11	0	0	16	37	0	11	26	0	0	0	0	0	0	0	12	11	13	0	13	21	0	17	27	0	0	0	0	65	0	0
20150103.tsv	1794	0	16	0	49	0	0	18	0	10	87	0	26	0	0	0	0	21	10	0	0	27	29	0	0	46	0	0	12	0	0	22	0	0	0	16	0	15	19	10	18	26	10	0	0	0	48	0	17
20150104.tsv	596	11	19	0	37	28	0	31	18	10	64	0	28	0	0	0	0	22	31	11	0	27	40	0	0	43	0	0	0	0	0	23	0	13	0	10	0	0	22	0	16	34	13	0	0	0	59	13	21
20150105.tsv	409	0	24	0	41	0	0	66	31	15	86	0	26	0	0	0	0	23	17	0	0	21	39	12	0	23	0	0	13	0	10	12	0	12	0	13	0	0	19	0	26	45	10	0	14	0	86	0	20
20150106.tsv	4238	11	28	0	30	19	0	40	15	0	99	0	16	0	0	21	0	28	18	0	0	45	38	0	0	20	0	0	0	0	0	0	0	18	0	32	0	17	23	0	27	31	0	0	10	0	141	18	18
20150107.tsv	3166	10	23	0	22	10	0	86	17	17	115	0	19	0	11	14	0	11	24	0	0	39	34	0	0	59	0	0	10	0	0	17	0	0	0	11	0	11	37	0	29	27	0	0	18	0	79	15	30
20150108.tsv	1053	56	13	0	31	21	0	67	18	13	99	0	34	0	0	0	0	0	14	0	0	35	25	0	0	21	0	0	0	0	0	13	0	11	10	0	0	0	21	15	38	22	11	0	0	0	61	0	15
20150109.tsv	1723	1877	26	0	24	0	0	54	33	11	95	0	23	0	0	0	0	15	10	0	0	28	25	0	0	36	0	10	11	0	0	19	0	0	0	11	0	13	27	0	26	14	0	0	0	0	77	0	21
20150110.tsv	680	929	20	0	25	13	0	56	11	0	78	0	32	0	0	0	0	18	11	0	0	24	12	0	0	25	0	0	0	0	0	11	0	13	0	0	0	11	26	0	33	20	0	0	0	0	63	13	11
20150111.tsv	1370	211	14	0	29	26	13	42	27	0	59	0	18	0	0	0	0	16	17	0	0	45	21	0	0	36	0	0	11	0	0	13	0	0	0	13	0	16	23	0	49	0	0	0	0	0	79	13	0
20150112.tsv	260	95	18	0	72	73	15	52	61	0	109	0	38	0	0	0	0	0	14	0	0	85	129	0	0	62	0	0	0	0	0	15	0	15	0	19	0	12	34	0	41	22	0	0	0	0	160	17	16
20150113.tsv	333	89	24	0	61	23	0	62	17	0	78	0	17	0	0	0	0	13	28	0	0	40	27	0	0	98	0	12	0	0	0	10	0	16	0	14	0	0	36	0	20	12	0	0	0	0	127	14	14
20150114.tsv	589	55	22	0	35	20	0	72	0	0	96	0	20	0	0	0	0	27	20	0	0	33	17	0	0	69	0	0	0	0	0	19	0	10	0	21	11	21	28	0	32	20	11	0	0	0	78	0	11
20150115.tsv	229	21	2380	0	43	0	0	86	0	18	89	0	38	0	0	0	0	0	18	0	0	63	21	0	0	49	0	0	0	0	0	13	0	15	0	20	0	0	40	0	51	34	0	0	11	0	92	11	14
20150116.tsv	274	20	43	0	31	11	0	88	10	0	64	0	36	0	0	0	11	23	29	0	0	53	17	0	11	41	0	0	0	0	11	11	0	10	0	11	0	22	24	0	17	18	0	0	0	0	99	17	10
20150117.tsv	194	23	11	0	40	19	0	30	0	11	75	0	22	15	10	0	12	10	18	0	0	31	22	0	0	26	0	0	0	0	0	22	0	0	0	21	0	17	38	0	38	28	0	0	0	0	92	13	10
20150118.tsv	147	25	49	0	27	13	0	27	32	14	72	0	16	0	0	0	14	18	15	0	0	55	14	0	0	127	0	10	0	0	0	18	0	13	0	18	0	13	27	0	24	19	11	0	0	0	101	0	11
20150119.tsv	130	15	25	0	61	15	11	47	16	0	89	0	26	0	0	0	0	16	10	0	0	34	14	0	0	79	0	0	0	0	0	17	0	15	10	18	0	20	24	10	31	20	0	0	0	13	77	18	12
20150120.tsv	156	10	20	0	117	15	0	45	0	13	72	0	24	0	0	0	0	17	19	0	0	46	15	0	0	48	0	0	0	0	0	17	0	15	0	20	13	12	34	0	27	25	13	0	11	10	73	0	0
20150121.tsv	138	15	11	0	58	15	0	56	0	0	68	0	39	0	0	0	0	18	20	0	0	37	27	0	0	44	0	0	0	0	0	21	0	14	0	12	0	17	24	0	35	10	15	0	0	0	103	10	11
20150122.tsv	272	11	32	80	46	10	0	50	0	0	75	0	37	0	0	0	0	24	15	0	0	34	15	0	0	24	0	0	0	0	0	13	0	17	15	0	0	21	33	0	22	23	16	0	0	0	78	0	17
20150123.tsv	123	0	38	963	67	18	0	31	0	13	74	0	22	0	0	0	0	0	0	0	0	26	30	0	0	36	0	0	0	0	12	0	0	10	0	20	12	15	18	0	38	20	21	0	0	0	69	0	11
20150124.tsv	117	0	19	969	55	15	0	17	10	13	58	0	31	0	0	0	12	13	0	0	0	20	23	0	0	23	0	10	18	0	0	11	0	10	10	17	0	15	10	0	43	24	0	0	0	0	66	0	11
20150125.tsv	163	0	21	1398	26	21	0	22	0	0	53	0	57	0	0	0	0	14	0	0	0	18	0	0	0	18	0	0	0	0	0	15	0	0	16	14	0	0	0	0	32	21	0	0	0	0	99	0	16
20150126.tsv	142	11	18	1549	33	0	0	42	0	13	74	0	29	50	0	0	14	12	14	0	0	26	10	0	0	23	0	13	10	0	0	10	0	10	10	14	0	10	12	0	31	13	0	0	0	0	65	0	12
20150127.tsv	146	0	22	1513	200	21	0	40	0	0	96	0	27	10	0	0	0	10	21	0	0	26	27	0	0	42	0	10	0	0	0	0	0	0	0	14	0	16	14	0	33	23	0	0	0	0	179	0	12
20150128.tsv	132	10	23	348	88	14	0	58	0	13	72	0	31	0	13	10	0	11	12	0	0	29	25	0	0	41	0	17	0	0	0	0	0	0	13	13	0	16	0	0	32	26	13	0	0	0	147	0	11
