page	count
Hlavní_strana	22113318
-webkit-linear-gradient(top, transparent, transparent), data:image/svg+xml,<?xml version="1.0" encoding="UTF-8"?><svg xmlns="http://www.w3.org/2000/svg" width="10" height="10"><g transform="translate(-826.429 -698.791)"><rect width="5.982" height="5.982" x="826.929" y="702.309" fill="#fff" stroke="#06c"/><g><path d="M831.194 698.791h5.234v5.391l-1.571 1.545-1.31-1.31-2.725 2.725-2.689-2.689 2.808-2.808-1.311-1.311z" fill="#06f"/><path d="M835.424 699.795l.022 4.885-1.817-1.817-2.881 2.881-1.228-1.228 2.881-2.881-1.851-1.851z" fill="#fff"/></g></g></svg>	9586173
index.html	3719815
-webkit-linear-gradient(top, transparent, transparent), data:image/svg+xml,<?xml version="1.0" encoding="UTF-8"?><svg xmlns="http://www.w3.org/2000/svg" width="22" height="16"><path d="M15.502 6.001l-5 5.001-5-5.001z" fill="#797979"/></svg>	3621867
-webkit-linear-gradient(top, transparent, transparent), data:image/svg+xml,<?xml version="1.0" encoding="UTF-8"?><svg xmlns="http://www.w3.org/2000/svg" width="12" height="13"><g stroke-width="2" stroke="#6c6c6c" fill="none"><path d="M11.29 11.71l-4-4"/><circle cx="5" cy="5" r="4"/></g></svg>	2305819
Prvoci	2299231
Special:Search	839687
-webkit-linear-gradient(top, transparent, transparent), data:image/svg+xml,<?xml version="1.0" encoding="UTF-8" standalone="no"?>
Https//dmp.pro.cn/html	728220
-webkit-linear-gradient(top, transparent, transparent), data:image/svg+xml,<?xml version="1.0" encoding="UTF-8"?><svg xmlns="http://www.w3.org/2000/svg" xmlns:xlink="http://www.w3.org/1999/xlink" width="14" height="32"><defs><path d="M14 9.3V6.73l-1.575-.264c-.117-.44-.292-.848-.496-1.2l.93-1.285-1.81-1.84-1.31.908c-.38-.205-.79-.38-1.196-.497L8.284 1H5.716l-.263 1.578c-.437.117-.816.293-1.196.497L2.975 2.17 1.137 3.98l.934 1.287c-.2.38-.376.79-.493 1.228L0 6.73V9.3l1.575.264c.117.438.292.818.496 1.198l-.93 1.315L2.95 13.89l1.312-.938c.38.205.787.38 1.224.497L5.746 15h2.566l.263-1.578c.408-.117.817-.293 1.196-.497l1.315.935 1.81-1.812-.935-1.315c.203-.38.38-.76.495-1.2L14 9.303zm-7 1.404c-1.488 0-2.683-1.2-2.683-2.69S5.542 5.327 7 5.327c1.458 0 2.683 1.198 2.683 2.69 0 1.49-1.195 2.688-2.683 2.688z" id="a"/></defs><use x	719797
Speciální:Poslední_změny	636811
Speciální:Sledované_stránky	626068
Česká_Wikipedie	607479
Česko	406856
Cenzura_na_internetu	349131
Speciální:Hledání	311478
Amyotrofická_laterální_skleróza	291634
Islámský_stát	289410
Karel_IV.	285654
Německo	263555
Uherské_Hradiště	263181
Buchanky	261948
Mistrovství_světa_v_ledním_hokeji_2015	261802
Praha	257084
Evropská_unie	255478
Jan_Hus	255242
Zavináč	250027
Sýrie	246996
Druhá_světová_válka	245918
Formát_papíru	245177
Čerčany	229547
Národní_park_České_Švýcarsko	223280
Rusko	203499
Islám	197814
Spojené_státy_americké	194383
Želvy	187786
První_světová_válka	180251
Harry_Potter	179934
Jaromír_Jágr	177701
Seznam_historických_výročí	170753
Francie	170096
Wikipedie:Nejlepší_články	166902
Tomáš_Garrigue_Masaryk	160131
Karel_Čapek	158065
Mistrovství_světa_v_ledním_hokeji	156832
Wikipedie:Tabulka_barev	154845
Polsko	154402
Stephen_Hawking	154107
Spojené_království	153092
Šaría	151211
Adolf_Hitler	151037
Aspergerův_syndrom	147323
Evropa	146649
Rakousko	143312
Wikimedia_Commons	142456
Velikonoce	142202
Švýcarsko	141938
Wikipedie	141862
Seznam_měst_v_Česku_podle_počtu_obyvatel	141757
Kanada	139645
Božena_Němcová	138982
Slovensko	138900
Seznam_států_světa_podle_počtu_obyvatel	137621
William_Shakespeare	137183
Andrej_Čikatilo	136536
Napoleon_Bonaparte	136358
Jan_Amos_Komenský	135351
Wiki	134115
Austrálie	133366
Marie_Terezie	131094
Ukrajina	129872
Alžběta_II.	128405
Ilumináti	127471
Španělsko	126606
Země	126074
Antonín_Dvořák	125341
Itálie	124846
Schengenský_prostor	124745
Brno	124289
Kraje_v_Česku	119967
Wolfgang_Amadeus_Mozart	119822
Světový_pohár_v_biatlonu_2014/15	119643
James_Bond	119431
Svatý_Václav	119248
Řecko	118736
Václav_Havel	116831
Bedřich_Smetana	116356
Turecko	115844
Karel_Gott	115525
Švédsko	112517
Londýn	111922
Sulejman_I.	111345
Severoatlantická_aliance	110787
Norsko	108945
Hashtag	107663
Indie	105768
Čína	105602
Facebook	105411
Izrael	105018
The_Beatles	104933
Voda	104151
Renesance	102885
Japonsko	102701
Chorvatsko	99875
Belgie	99822
Nizozemsko	99809
Ph.D.	99055
New_York	98153
Titanic	97868
Afrika	97486
Miloš_Zeman	96717
Halloween	96601
Leonardo_da_Vinci	96491
Maďarsko	96398
Karel_Jaromír_Erben	95580
Steve_Jobs	95391
Wikipedie:Pod_lípou	94988
Česká_hymna	94674
Vzorník_barev_RAL	94602
Bičování	93371
Sluneční_soustava	93148
Speciální:Nové_stránky	92714
Baroko	92221
Slunce	91944
Finsko	91853
Island	91543
Internet	91311
Irsko	91208
Národní_divadlo	90461
Basketbal	90431
Kočka_domácí	89561
Josif_Vissarionovič_Stalin	89438
Svatojakubská_cesta	89201
Hipster	89020
Albert_Einstein	88977
Římské_číslice	88962
Rakousko-Uhersko	88772
Měsíc	88727
Československo	88132
Organizace_spojených_národů	88037
Metro_v_Praze	88015
Dánsko	86737
Občanská_válka_v_Sýrii	86286
Saúdská_Arábie	85845
Stanislav_Gross	85593
Mistrovství_světa_v_ledním_hokeji_2014	84871
Křesťanství	84858
Třicetiletá_válka	84777
Mnichovská_dohoda	84764
Turbogenerátor	83256
Václav_IV.	83129
Jan_Saudek	83057
Egypt	82989
Litva	82720
Anglie	82704
-webkit-linear-gradient(top,%20transparent,%20transparent),%20data:image/svg+xml,%3C%3Fxml%20version%3D%221.0%22%20encoding%3D%22utf-8%22%3F%3E%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%2224%22%20height%3D%2224%22%20viewBox%3D%220%200%2024%2024%22%3E%3Cg%3E%3Cpath%20d%3D%22M12.001%202.085c-5.478%200-9.916%204.438-9.916%209.916%200%205.476%204.438%209.914%209.916%209.914%205.476%200%209.914-4.438%209.914-9.914%200-5.478-4.438-9.916-9.914-9.916zm.001%2018c-4.465%200-8.084-3.619-8.084-8.083%200-4.465%203.619-8.084%208.084-8.084%204.464%200%208.083%203.619%208.083%208.084%200%204.464-3.619%208.083-8.083%208.083z%22%2F%3E%3Cg%3E%3Cpath%20d%3D%22M11.766%206.688c-2.5%200-3.219%202.188-3.219%202.188l1.411.854s.298-.791.901-1.229c.516-.375%201.625-.625%202.219.125.701.885-.17%201.587-1.078%202.719-.953%201.186-1%203.655-1%203.655h1.969s.135-2.318%201.041-3.381c.603-.707%201.443-1.338%201.443-2.494s-1.187-2.437-3.687-2.437z%22%2F%3E%3Cpath%20d%3D%22M11%2016h2v2h-2z%22%2F%3E%3C%2Fg%3E%3	82621
Akademický_titul	82454
Normostrana	82234
Hrubý_domácí_produkt	81319
Paříž	81224
Pohlavní_styk	81145
Krevní_skupina	80741
Google	80695
Kapverdy	80405
Ostrava	80371
František_Josef_I.	80030
Jan_Werich	79562
Kuskus	79331
Eiffelova_věž	79313
Aljaška	79274
Lidský_penis	78800
Řecká_abeceda	78451
Xenofobie	78399
Nový_Zéland	78233
Brazílie	78059
Mexiko	77985
Hlavní_strana	77940
Armáda_České_republiky	77828
Sovětský_svaz	77750
Plzeň	77618
Mohamed	77600
Írán	77463
Sametová_revoluce	77310
Jan_Žižka	77297
Olomouc	77057
