day	page1	ratio1	count1	page2	ratio2	count2	page3	ratio3	count3
20150102.tsv	Billboard_Hot_100	46.0196915776987	559	PF	45.915216858613086	540	Heinrich_Harrer	29.71389446777433	469
20150103.tsv	/index.php	55.49040511727079	600	Heinrich_Harrer	43.20869088917291	682	Orient_expres	36.13155584814571	949
20150104.tsv	/index.php	55.49040511727079	600	Forrest_Gump	33.96592338479131	856	Forrest_Gump_(film)	33.13343987215342	478
20150105.tsv	Matka_(drama)	62.02019334049409	832	Rita_Ora	52.45428515007899	1531	Hattrick	33.66115863141524	499
20150106.tsv	Zdislava_z_Lemberka	45.035256251547416	2621	Stepan_Bandera	39.44070160381913	4238	5._leden	32.95893659510734	761
20150107.tsv	Detroit_Red_Wings	55.55809698078682	1225	Wyatt_Earp	51.33457103771741	757	6._leden	37.2167032967033	976
20150108.tsv	Jaroslav_Flegr	26.308147005911078	295	Wyatt_Earp	23.531170607777995	347	7._leden	23.172996142306047	779
20150109.tsv	GIGN	125.37420596727623	1877	Davle	86.05306553911204	1173	8._leden	35.89165985282093	759
20150110.tsv	GIGN	62.05255052935515	929	Deltoid	47.803615046409384	564	Milan_Pacanda	42.799643634923775	623
20150111.tsv	Arts_and_Crafts	293.9169285653614	9972	Steve_Jobs	70.16318101288381	19288	Apple_Lisa	62.78535451375436	934
20150112.tsv	Aujeszkyho_choroba	129.24064857922622	2320	Apple_Lisa	58.55036807438977	871	Steve_Jobs	53.68822006268935	14759
20150113.tsv	Andy_Warhol	124.2498626826321	13038	SuicideGirls	66.0501526667966	2930	Sikorsky_UH-60_Black_Hawk	39.71134396355353	1256
20150114.tsv	Teplota	115.66092068223215	20129	Hydra	84.03951066291948	1465	SuicideGirls	62.30806210615215	2764
20150115.tsv	Petr_Fiala_(politolog)	170.9855072463768	2380	Ionizace	65.99646787121316	2800	Petr_Fiala_(politolog)	62.50310559006211	870
20150116.tsv	Bounty	57.44863266814487	1792	Cihla	43.91258969341161	2910	SuicideGirls	33.273046189826545	1476
20150117.tsv	Sovy	116.2335659301102	12097	Hypospadie	52.18490422909159	793	Operace_Northwoods	37.77159455740713	712
20150118.tsv	Howard_Hughes	88.09854331992608	4671	Zkouknito.cz	77.11111111111111	1430	Omar_Sharif	25.871296952515944	526
20150119.tsv	Jawa_250/353	46.28657487091222	775	Omar_Sharif	28.920765414599575	588	Howard_Hughes	23.594792912273075	1251
20150120.tsv	Mamma_Mia!	201.1151922745301	3361	Stres	119.19652984334721	17323	19._leden	40.85887445887446	952
20150121.tsv	Substituce	43.38325404376784	657	Wartburg_(automobil)	37.766813745153094	814	20._leden	31.486587357126197	778
20150122.tsv	Plynovod_Jamal_-_Evropa	285.26575997059365	4473	Ramen	228.74251622357127	9447	21._leden	34.67869858809085	814
20150123.tsv	Kategorie:Sociologie_rodiny	78.11572769953052	959	Diana_de_Poitiers	73.28879310344827	1225	Demograf	48.99721407624634	963
20150124.tsv	Kategorie:Sociologie_rodiny	79.41901408450704	975	Demograf	49.3024926686217	969	Ekonom	48.484931506849314	969
20150125.tsv	Kategorie:Sociologie_rodiny	100.8417840375587	1238	Demograf	71.12991202346042	1398	Ekonom	70.0504686373468	1400
20150126.tsv	Demograf	78.81275659824047	1549	Ekonom	77.70598413842826	1553	Kategorie:Demografie	73.56975138121548	1535
20150127.tsv	Demograf	76.98108504398827	1513	Ekonom	76.05479452054794	1520	Kategorie:Demografie	71.89226519337018	1500
20150128.tsv	Diskuse:Generace	56.84332842081396	1445	Colbie_Caillat	55.835027100271006	1425	Kategorie:Zkratky	49.5045756670841	1481
20150129.tsv	Fenobarbital	82.17308027163504	1360	Nikotinamid	68.93430087390762	1273	Bath	48.837640977443606	1198
20150130.tsv	Andy_Murray	29.544591455408543	843	29._leden	29.071650211565583	594	Giacomo_Puccini	19.41081619110816	843
20150131.tsv	Burleska	41.73652599968389	1522	30._leden	31.2890866873065	699	Australian_Open_2015	18.09040915090189	237
20150201.tsv	Herbert_Lom	45.930181818181815	546	Viktor_Sodoma	30.586626139817632	1363	Hodgkinova_nemoc	30.321102863202544	412
20150202.tsv	Andy_Murray	24.743157256842743	706	Super_Bowl	24.08745439805432	685	Appeasement	23.54966618287373	1169
20150203.tsv	Super_Bowl	44.02553708958249	1252	Dreadnought	39.81967213114754	742	Tom_Brady	39.241109530583216	477
20150204.tsv	Mys	26.04839676356008	501	Leclerc_(tank)	22.392487358536	268	Rozvaha	22.100814736096353	1798
20150205.tsv	Trilobiti	115.35011456211814	5223	MiG-35	60.29176803644889	3928	Von_Neumannova_architektura	51.38752747700073	1819
20150206.tsv	Program_NSDAP	93.82577379793655	1389	Mapy.cz	72.05105900151285	1098	Komplement_(biologie)	58.10697387368854	814
20150207.tsv	Deflace	77.27675092416825	8916	Bell_Boeing_V-22_Osprey	43.142807805214986	720	ATR_72	16.989974352996036	420
20150208.tsv	Euro_Hockey_Tour_2014/2015	23.744517833553502	259	Milan_Chladil	18.860248702956437	660	Herbert_Lom	17.665454545454544	210
20150209.tsv	Eva_(opera)	321.95296025952956	3432	Lebensborn	39.65624147649786	1257	Windows_2000	25.020447696943606	335
20150210.tsv	Douglas_DC-3	24.934994807892004	346	Delain	22.177046505303238	235	Projekt_955	17.263214816817626	368
20150211.tsv	Garri_Kasparov	69.29888295288976	2056	Anatolij_Karpov	45.186732186732186	530	Hebefilie	38.32407148841106	791
20150212.tsv	Milli_Vanilli	45.46072327460591	989	Hebefilie	25.920832169784976	535	General_Dynamics_F-111	23.978808353808354	450
